Date,Cancelled
1996-01-01,0.030900723208415515
1996-01-02,0.0672579453067258
1996-01-03,0.07192310277609733
1996-01-04,0.028392652896454283
1996-01-05,0.029633113828786452
1996-01-06,0.0507185122569738
1996-01-07,0.2597874919774656
1996-01-08,0.29014598540145986
1996-01-09,0.16927559802127803
1996-01-10,0.05157224179994579
1996-01-11,0.08941383511574387
1996-01-12,0.11105103075363298
1996-01-13,0.019663787785317705
1996-01-14,0.014818526737776505
1996-01-15,0.014493735184558076
1996-01-16,0.04450013546464373
1996-01-17,0.09472543841830862
1996-01-18,0.1382042253521127
1996-01-19,0.07088316778160686
1996-01-20,0.02536036383257535
1996-01-21,0.01674418604651163
1996-01-22,0.021627466882941336
1996-01-23,0.04326663061114116
1996-01-24,0.031767489016559645
1996-01-25,0.026543293259489398
1996-01-26,0.03913630229419703
1996-01-27,0.05100784736113248
1996-01-28,0.029750411213616535
1996-01-29,0.03089090171691226
1996-01-30,0.03827168841706674
1996-01-31,0.03576015683093355
1996-02-01,0.05769100857934203
1996-02-02,0.11855600539811066
1996-02-03,0.1380238369857747
1996-02-04,0.05540087099307489
1996-02-05,0.033249983104683384
1996-02-06,0.02666125321423738
1996-02-07,0.01982601658911592
1996-02-08,0.024054982817869417
1996-02-09,0.02058665231431647
1996-02-10,0.012482874105647739
1996-02-11,0.011792285288058535
1996-02-12,0.021632185457241052
1996-02-13,0.017600647380133522
1996-02-14,0.02521235000674127
1996-02-15,0.015063887020847344
1996-02-16,0.08216513515326312
1996-02-17,0.02213372137550739
1996-02-18,0.00804655506861125
1996-02-19,0.009408877070975659
1996-02-20,0.04180388466966866
1996-02-21,0.06941737786439084
1996-02-22,0.04484425349087003
1996-02-23,0.03673414666845422
1996-02-24,0.010953069141248955
1996-02-25,0.009349766255843604
1996-02-26,0.020763338260986426
1996-02-27,0.01995699502755006
1996-02-28,0.019545943041375604
1996-02-29,0.01638573635081593
1996-03-01,0.012348164552714582
1996-03-02,0.018169429934135818
1996-03-03,0.0149369956109302
1996-03-04,0.022859824361466784
1996-03-05,0.031113793334674445
1996-03-06,0.051068963206219425
1996-03-07,0.06833255175185905
1996-03-08,0.048166978860048164
1996-03-09,0.009981096408317581
1996-03-10,0.00793032641789988
1996-03-11,0.014072237485760235
1996-03-12,0.01682643963263391
1996-03-13,0.011360506747452492
1996-03-14,0.010522082970310301
1996-03-15,0.008967409489393027
1996-03-16,0.0056715063520871144
1996-03-17,0.004106194690265487
1996-03-18,0.0174956428475667
1996-03-19,0.030195262698785478
1996-03-20,0.046976712972283736
1996-03-21,0.01489133351220821
1996-03-22,0.006632277081798084
1996-03-23,0.008620037807183364
1996-03-24,0.014814289764672526
1996-03-25,0.03910127431254192
1996-03-26,0.01120504562533548
1996-03-27,0.013548863102823798
1996-03-28,0.014348933887622367
1996-03-29,0.01587514234041128
1996-03-30,0.009382566585956417
1996-03-31,0.0074415308291991495
1996-04-01,0.015800443757143817
1996-04-02,0.010757025682398816
1996-04-03,0.007931173544831294
1996-04-04,0.010150578112395805
1996-04-05,0.010221349759696744
1996-04-06,0.00912296841459675
1996-04-07,0.010928571428571428
1996-04-08,0.013496273417041562
1996-04-09,0.014973477472638152
1996-04-10,0.019406392694063926
1996-04-11,0.007719675102369605
1996-04-12,0.02139360203876333
1996-04-13,0.013038890563762435
1996-04-14,0.006801757120589486
1996-04-15,0.014373027066962188
1996-04-16,0.015716300624622204
1996-04-17,0.011218594652693807
1996-04-18,0.008127350886620097
1996-04-19,0.009187847897525317
1996-04-20,0.012295391114128385
1996-04-21,0.006303562575253205
1996-04-22,0.018753781004234724
1996-04-23,0.01712051765974656
1996-04-24,0.010709234188724995
1996-04-25,0.008838213466468762
1996-04-26,0.006080670224984798
1996-04-27,0.00601034692635423
1996-04-28,0.007829738771442806
1996-04-29,0.027740280777537797
1996-04-30,0.025760649087221095
1996-05-01,0.01116297950071037
1996-05-02,0.007357408032399595
1996-05-03,0.006009858869606321
1996-05-04,0.010099476042220366
1996-05-05,0.007843696520250997
1996-05-06,0.016911467457216008
1996-05-07,0.012258368694012258
1996-05-08,0.025328393398450656
1996-05-09,0.04368048533872598
1996-05-10,0.02842550903837108
1996-05-11,0.014608433734939759
1996-05-12,0.007328874341824392
1996-05-13,0.01117468865701784
1996-05-14,0.016011840688912808
1996-05-15,0.01574061617112875
1996-05-16,0.03193491999462149
1996-05-17,0.014841179235780001
1996-05-18,0.009388613489559862
1996-05-19,0.00546486870120653
1996-05-20,0.021992064025825542
1996-05-21,0.029787520172135557
1996-05-22,0.01472763954270343
1996-05-23,0.011024468943264318
1996-05-24,0.02019998657808201
1996-05-25,0.009153142065994924
1996-05-26,0.010237319683573755
1996-05-27,0.006622050017611836
1996-05-28,0.020369747899159664
1996-05-29,0.019091153535896747
1996-05-30,0.013644307030514854
1996-05-31,0.00913978494623656
1996-06-01,0.01810895057147098
1996-06-02,0.007871802080404836
1996-06-03,0.016532797858099062
1996-06-04,0.01725867951033514
1996-06-05,0.015007369690473
1996-06-06,0.016320277111644018
1996-06-07,0.01232931194484953
1996-06-08,0.009879976580796253
1996-06-09,0.013589405810164322
1996-06-10,0.021955425842398513
1996-06-11,0.023224950232249502
1996-06-12,0.02714181432079103
1996-06-13,0.021806853582554516
1996-06-14,0.016861733782979567
1996-06-15,0.010676156583629894
1996-06-16,0.010071049182589501
1996-06-17,0.031730325219341646
1996-06-18,0.029764256552087448
1996-06-19,0.02392407566071311
1996-06-20,0.020908672496548097
1996-06-21,0.013521496553987529
1996-06-22,0.014599065084501978
