APF,7.76834,259
ALO,8.38202,356
SCC,9.13178,129
PFN,9.32,150
YUM,9.41884,499
EAU,9.4984,313
BET,9.62016,129
FOE,9.7193,57
FLG,9.80351,570
PHF,10.0763,262
CDV,10.0839,143
RST,10.2204,540
DAL,10.3099,9090
PUB,10.344,343
CSG,10.4831,325
ELM,10.5683,688
MGM,10.6135,859
TLH,10.8455,2078
BGM,11.0841,535
HLN,11.1798,267
SAV,11.2373,2950
MAF,11.3141,2359
WRG,11.4277,166
CHS,11.4348,3664
ABE,11.4481,1234
GCN,11.4604,417
CHA,11.4612,1275
GNV,11.5193,595
SUX,11.5815,712
VPS,11.5964,332
RAP,11.6033,910
OME,11.7371,194
KTN,11.7436,507
GSP,11.7986,2150
CRP,11.8196,1242
CID,11.8373,1469
PSG,11.8512,168
MLB,11.8897,1052
SIT,11.9181,293
ATL,12.0629,66783
AGS,12.0712,857
LEX,12.0961,2362
RDU,12.1644,15360
HSV,12.185,1503
CAK,12.1883,1285
RDM,12.1905,168
PIA,12.2048,1123
MLI,12.2369,1798
MOB,12.2445,2090
CMI,12.2451,616
SGF,12.2866,820
HDN,12.2951,61
CAE,12.4463,3014
CPR,12.4759,622
YAK,12.4965,143
OKC,12.5108,6296
ITH,12.5466,633
DAB,12.572,1535
SHV,12.5796,1984
MSN,12.6728,1088
MBS,12.6911,764
ELP,12.7374,5644
CLT,12.7485,24664
FSD,12.752,1722
TUL,12.7618,6457
ICT,12.7747,3528
PNS,12.7762,1854
GFK,12.7881,302
HOU,12.8102,14250
BIS,12.8204,1119
JAN,12.8362,2552
MDT,12.865,1533
AMA,12.8799,1931
MDW,12.923,4534
BUF,12.9744,6830
MEM,12.9745,19841
BUR,13.0455,6502
ABQ,13.0489,7784
RIC,13.054,4758
DTW,13.0854,28452
LNK,13.0964,1587
BHM,13.214,4580
TOL,13.2151,902
TYS,13.2207,2383
IAD,13.2212,14723
JAX,13.2452,6398
BTV,13.2532,1552
ORF,13.2858,7109
DLH,13.3043,345
SRQ,13.3382,2546
ROC,13.3763,5915
ISP,13.4015,2015
OMA,13.4304,4382
OTZ,13.4694,196
LBB,13.4763,2173
CCR,13.5177,367
MHT,13.5511,528
BTR,13.5525,2237
CWA,13.5841,428
PHX,13.5968,30234
BIL,13.6152,1749
LIT,13.6411,3631
SDF,13.6737,6130
CLE,13.6756,13448
RSW,13.6886,3867
MCI,13.7051,12830
HRL,13.7286,1647
CHO,13.7583,422
DFW,13.7637,52450
BNA,13.7725,13312
DRO,13.7931,174
SAT,13.8014,8043
FWA,13.8054,1079
SLC,13.8057,16515
AUS,13.8064,7086
AVP,13.8173,531
BDL,13.8199,7575
CMH,13.8204,6638
OAK,13.822,8383
DAY,13.8242,9217
TPA,13.836,15168
FAR,13.8494,830
LAS,13.8537,19149
DSM,13.8611,3485
PIT,13.8764,29296
ATW,13.8785,428
ONT,13.9241,7997
ALB,13.9941,2864
EYW,14.0342,527
LYH,14.0545,440
BWI,14.0566,16198
CRW,14.0664,1310
STL,14.0756,32690
MSP,14.0777,23601
COS,14.0969,2219
HTS,14.1217,608
MCO,14.151,17156
IND,14.1534,8707
SJC,14.1601,11515
AZO,14.1728,949
BOI,14.2012,1466
GJT,14.2805,574
GTF,14.2918,1052
HPN,14.2998,587
IAH,14.3363,21830
PVD,14.3624,2944
RNO,14.3626,5714
BFL,14.3881,603
ROA,14.3886,1338
MKE,14.453,4234
YAP,14.4615,52
GSO,14.48,5786
LSE,14.4868,417
SJU,14.5211,3539
SNA,14.5801,7307
FLL,14.5835,10247
DCA,14.7419,21979
MSY,14.7541,10039
SYR,14.79,8322
TUS,14.8165,4867
GPT,14.8382,309
SMF,14.8737,6780
MIA,14.8986,18082
BGR,14.9323,532
SBA,14.9412,1140
PHL,14.9473,20474
GRB,14.9481,617
EWR,14.949,31058
JNU,14.9903,721
MYR,15.0726,978
PSP,15.0949,1349
SAN,15.1404,14711
CVG,15.1467,15415
SCK,15.1872,438
JAC,15.1921,229
SBN,15.2087,642
LGA,15.2135,28456
IDA,15.226,323
PSC,15.2604,457
STX,15.2894,781
MSO,15.2978,695
ORD,15.3912,67830
LMT,15.4561,57
BOS,15.4602,25056
GRR,15.4694,2435
BZN,15.491,943
GEG,15.5153,2816
MOT,15.581,432
TVL,15.5875,240
FAT,15.5957,1892
ILM,15.6137,1139
DEN,15.6393,44284
PDX,15.6759,9969
PWM,15.6911,1677
ISO,15.7486,362
MRY,15.7844,872
PBI,15.8479,5903
TRI,15.9504,786
RDD,15.9705,339
ORH,16.1072,597
BLI,16.1767,249
SPN,16.1768,311
FAY,16.1859,1081
FAI,16.4037,753
MLU,16.4465,636
OGG,16.4624,917
SEA,16.5154,17448
GUC,16.5172,29
ANC,16.6741,3237
EVV,16.6985,680
ROR,16.7333,90
EUG,16.8818,1151
LAX,16.9423,45597
LAN,17.0261,689
STT,17.0482,789
JFK,17.0667,12317
GUM,17.0708,424
LFT,17.1552,290
FCA,17.1703,182
OAJ,17.1881,452
MFR,17.2685,812
ERI,17.2749,633
LGB,17.4689,2073
KOA,17.4845,161
LIH,17.6049,162
BTM,17.618,178
FNT,18.203,271
MFE,18.3374,406
UCA,18.9308,260
ACV,18.9676,340
SFO,19.0985,34948
PIE,19.9274,179
YKM,19.9509,163
HNL,20.0523,3729
AVL,20.2579,539
ILG,26.8621,29
PIH,30,1
