ITO,8.65098,914
HRL,11.6285,4167
DAL,11.732,48526
AKN,11.8889,324
PSC,11.9498,1454
GPT,12.0241,1079
AVL,12.0884,1584
GFK,12.2041,1024
MAF,12.2974,5347
ELM,12.4154,1406
TOL,12.5698,902
SUX,12.5899,690
LBB,12.6415,5682
BRW,12.6496,959
GST,12.7253,91
ILM,12.7585,2195
SAV,13.0106,5378
HOU,13.0197,56320
TLH,13.1004,2122
DLG,13.1159,302
CAE,13.2676,4885
BHM,13.381,19902
BTR,13.4114,4455
PNS,13.4448,5749
CRW,13.4538,1146
CHA,13.5289,1074
JAN,13.6704,8989
KOA,13.6843,2499
LIH,13.687,2102
HSV,13.7718,5771
AMA,13.8288,4789
PSG,13.8571,728
ITH,13.8671,1407
MLI,14.0459,1961
DUT,14.0483,662
LEX,14.1212,3549
FAR,14.1372,2347
MGM,14.1746,991
BUR,14.1942,27714
MYR,14.2007,2746
MFE,14.2149,3518
AGS,14.2578,993
LNK,14.3175,2743
SGF,14.3729,2065
FAI,14.4124,5383
BIS,14.4135,1422
GSP,14.4385,6890
MDW,14.4442,53329
AUS,14.4571,42600
CHS,14.5689,6948
MOB,14.6166,4332
OAK,14.6341,57161
SIT,14.6606,1311
LIT,14.6787,13556
TUL,14.681,19989
ROA,14.6924,2217
KTN,14.7012,2507
SDF,14.7032,22532
ISP,14.7129,8443
MRY,14.7214,341
ELP,14.722,23683
SAT,14.7686,38726
FAY,14.79,1414
HLN,14.7953,718
BOI,14.8183,12569
BNA,14.8446,57688
ONT,14.849,35911
ICT,14.8928,6541
FSD,14.9639,3487
OMA,14.9739,17294
BET,14.9749,1036
SLC,15.0169,80576
OME,15.0181,940
GRB,15.0386,2903
RNO,15.0414,30670
OKC,15.0731,19878
CID,15.0868,5147
FNT,15.107,1280
CRP,15.1147,3094
BZN,15.1224,1862
LFT,15.1429,7
MSY,15.153,51174
OTZ,15.1576,882
JAX,15.2124,24641
MCI,15.2426,62103
ERI,15.2715,1440
DSM,15.3036,6676
SNA,15.3747,43545
CLT,15.387,130619
ABQ,15.4047,36459
DLH,15.4079,1032
TYS,15.4247,6984
JNU,15.4533,4494
MSN,15.4721,3974
BWI,15.4871,91217
STL,15.5442,169596
RIC,15.5626,17365
TRI,15.6102,1152
ADQ,15.6154,728
OGG,15.6583,5593
MDT,15.6788,7338
SMF,15.7265,38814
ORF,15.7314,15999
PVD,15.8031,25984
SRQ,15.8297,4955
MKE,15.8327,15412
RDU,15.8498,35992
IND,15.8587,35268
CMH,15.8657,35703
SJC,15.9082,67720
MLU,15.9297,2176
CVG,15.9435,73772
SCC,15.945,382
LAS,15.9455,137789
MHT,15.949,13734
PHX,15.9971,188907
DFW,16.0065,247029
VPS,16.0153,1310
SAN,16.0226,72513
BGM,16.0842,796
BIL,16.0945,3027
PIT,16.1207,106275
DAB,16.1836,2037
CAK,16.2139,1052
AVP,16.2224,1524
ABE,16.2326,6302
GRR,16.2782,8002
TUS,16.3012,20111
GTF,16.3125,2339
SHV,16.3682,3525
MEM,16.4055,54526
TPA,16.4289,64669
LGB,16.4306,3672
HPN,16.438,5000
IAH,16.479,131084
CLE,16.4873,55596
GEG,16.5053,13255
STX,16.5191,732
ALB,16.579,13712
BDL,16.5841,36495
ATL,16.6183,265117
DCA,16.6217,85806
SWF,16.6919,1279
FCA,16.696,1569
WRG,16.7088,728
PWM,16.7177,6108
PDX,16.7188,57248
MSO,16.8064,1865
DEN,16.812,137296
LAN,16.8147,2461
GSO,16.8577,15190
DAY,16.8588,11165
COS,16.8855,12413
SYR,16.9898,11397
YAK,17.0206,727
SBN,17.0337,2016
BUF,17.0425,19073
ANC,17.1101,20789
ROC,17.1388,13968
BTV,17.175,2634
MCO,17.2702,99975
MBS,17.3344,3911
PSP,17.3735,4661
RSW,17.4042,14962
SBA,17.4315,2598
RAP,17.4322,1275
DTW,17.4556,153502
FLL,17.5075,50590
CDV,17.522,728
HNL,17.5683,16877
MSP,17.6473,147279
TVC,17.6706,1111
LSE,17.6864,440
MIA,17.6906,66962
AZO,17.7218,1039
PHL,17.8177,121136
SEA,17.9161,104916
RST,17.9686,2228
PIA,18,16
IAD,18.0131,65479
MIB,18.0225,89
LAX,18.0505,212151
STT,18.0849,2769
PBI,18.1479,22994
SJU,18.2234,25170
ORD,18.3046,296868
BOS,18.3461,113094
JAC,18.3882,863
MOT,18.4235,1006
HDN,18.5623,690
LWB,18.7805,82
BRO,18.8364,55
JFK,18.9037,45493
EGE,19.0758,1188
EUG,19.184,2147
GUC,19.19,221
LGA,19.2191,104112
MFR,19.3296,1538
EWR,19.4379,124496
SFO,19.5472,135052
FAT,19.6721,366
MLB,19.7562,1452
MTJ,19.7929,198
DRO,20.3729,118
FWA,20.7596,445
BQN,26.3333,18
