LGB,7.56388,1401
FNT,7.98387,248
HTS,8.1561,615
VPS,9.16728,1094
CAK,9.19568,1574
OAJ,9.31436,369
EVV,9.5543,709
HRL,9.72323,5752
ERI,9.89752,1454
LBB,9.93405,6338
IDA,9.94915,1298
MSO,9.97091,1822
AMA,10.1206,4294
CRW,10.16,2031
ELM,10.1861,1392
SBN,10.1921,3560
CRP,10.288,4225
TLH,10.3578,4668
CHA,10.4833,3387
MBS,10.5809,3861
DAL,10.7248,46570
MAF,10.7354,7512
MOT,10.9331,1091
ROA,10.9399,3312
FAY,10.9429,2188
DLH,10.9779,1813
HLN,11.1508,1094
FWA,11.1565,3354
ELP,11.1764,28728
SHV,11.2309,4552
MYR,11.2415,2720
LNK,11.2646,3488
MSN,11.336,4640
FAI,11.3473,4843
BUR,11.4144,31472
PHF,11.4222,1016
LEX,11.4436,5070
ONT,11.4456,40062
RAP,11.4475,1077
TYS,11.4678,9509
CDV,11.4738,726
DLG,11.5422,367
HOU,11.6049,57492
OKC,11.6301,22077
OAK,11.7114,65541
SGF,11.713,1575
ADQ,11.7679,504
GRR,11.7856,9171
PFN,11.7932,1320
TOL,11.8566,2461
ABQ,11.8621,36871
SIT,11.8665,1311
AVL,11.8669,2877
GNV,11.9063,1473
CHS,11.9205,9228
GRB,11.9536,2843
PSC,12.0488,1454
TWF,12.087,23
SCC,12.1171,632
HSV,12.1295,6957
SAV,12.1508,5763
SJC,12.152,39283
TUL,12.1846,20795
RNO,12.1867,20727
BHM,12.2654,18118
LAN,12.2685,2365
ILM,12.275,2204
LIT,12.288,16652
MDW,12.2908,47985
TRI,12.2997,3056
SUX,12.3366,710
GFK,12.3487,1414
ITH,12.4545,1056
CAE,12.5165,5714
GSP,12.5497,8835
DAY,12.5529,14524
AGS,12.5551,2387
ORF,12.6242,18198
SMF,12.661,36051
SNA,12.6787,36159
SAT,12.7442,38060
PNS,12.7861,6621
FAT,12.8165,2507
BIL,12.863,3701
AUS,12.8728,36474
OTZ,12.8757,1022
BRO,12.8763,687
EUG,12.9121,2173
BGM,12.9332,1422
JAN,12.942,4945
KTN,12.9672,2589
PIA,12.9737,76
ICT,13.0682,7051
MOB,13.0785,5378
SDF,13.08,24094
BET,13.1081,981
DSM,13.1129,9177
JAC,13.2114,1424
JAX,13.2426,18184
AVP,13.2441,2605
SYR,13.2936,12592
JNU,13.2939,4130
GEG,13.3414,12230
BTV,13.3736,3362
MKE,13.3737,17172
RDU,13.4254,27642
BUF,13.48,19932
PVD,13.5103,12530
SAN,13.5423,65731
PSP,13.5536,3132
TUS,13.5627,18549
AZO,13.5948,2490
BNA,13.6449,43382
RIC,13.6533,15990
IND,13.7141,37092
PDX,13.7269,48049
BWI,13.7538,66154
PHX,13.7689,157155
LAS,13.7952,112181
CID,13.8005,5318
FSD,13.819,4343
MLI,13.9098,1641
AKN,13.9474,475
BOI,13.9614,10174
CLT,13.9726,131417
ALB,13.9802,11997
MDT,13.992,8648
BRW,13.9922,1024
KOA,13.9934,455
BZN,14.0181,2205
GSO,14.0806,32676
SRQ,14.0809,6863
YAK,14.1033,726
CMH,14.1327,38271
MGM,14.1333,2498
MFE,14.1385,4057
STX,14.1511,1059
ROC,14.1953,16130
MCO,14.2082,67900
MSY,14.2493,49179
BTR,14.2588,4741
BGR,14.2989,1589
CLE,14.3143,66888
PIT,14.3742,126190
OMA,14.3796,18215
TVC,14.4246,1055
PSG,14.4717,725
DAB,14.4727,4364
ANC,14.5301,19040
BIS,14.5815,1417
MRY,14.6066,1205
ABE,14.6068,7198
SBA,14.6405,1480
SWF,14.6424,4402
MLB,14.6597,3171
MCI,14.6905,56727
RST,14.7171,3514
DEN,14.7758,130327
PBI,14.7854,22558
IAH,14.8086,121029
COS,14.8185,12077
TPA,14.9198,45782
OME,14.9566,1013
MHT,14.9717,4629
FLL,14.9738,33641
WRG,14.9959,726
SEA,15.0065,92016
FCA,15.1071,1018
CVG,15.1097,76629
BDL,15.1214,25771
RSW,15.1713,14990
MEM,15.1876,53388
BQN,15.2221,734
SLC,15.2226,84056
DCA,15.232,86266
FAR,15.2629,2339
PHL,15.3139,91577
HPN,15.4416,6228
LWB,15.5,4
STT,15.6061,2874
MSP,15.703,136436
PWM,15.7788,5451
ATL,15.8052,230470
STL,15.8134,174847
SFO,15.86,129137
LAX,15.8851,179909
MLU,15.9018,2209
DTW,15.9173,147610
OGG,15.921,2609
ANI,16.0451,133
ISP,16.1819,3111
DRO,16.1863,102
BOS,16.2225,92852
IAD,16.2455,33053
DUT,16.3905,379
LGA,16.5405,99225
MTJ,16.7556,45
MFR,16.8279,1342
GUC,16.8436,243
HVN,16.8585,1081
MIA,16.9495,70581
LFT,17,2
DFW,17.042,268127
CSG,17.069,971
ORD,17.1262,293422
KSM,17.188,133
GTF,17.2191,2428
SJU,17.3898,21458
HDN,17.4748,556
EWR,17.6809,109592
LSE,17.898,1392
HNL,18.1987,12537
EGE,18.9754,690
JFK,18.9796,46187
BFL,20.5297,455
GST,20.8367,98
ACK,22.975,40
SPN,23.8762,105
