MAZ,9.55172,29
CAE,10.4664,1784
ERI,11.1053,19
DAL,11.3774,43195
TXK,12.08,1263
HRL,12.3772,4123
AVL,12.3973,979
MAF,12.5111,7181
GGG,12.5275,1401
MLB,12.8392,1337
BUR,13.0042,25600
PNS,13.1322,3965
TLH,13.1793,1478
FSM,13.1871,2784
SAV,13.2171,5652
ILM,13.4363,1987
ILE,13.4492,3152
BRO,13.4618,249
SBP,13.4969,2431
LBB,13.502,7678
HOU,13.5252,55232
ORH,13.5654,283
ONT,13.5702,32895
ISP,13.5998,10695
BET,13.6219,1399
FAT,13.725,3313
CHS,13.7409,4488
CLL,13.7846,2173
GPT,13.7911,1015
GFK,13.8285,939
OAK,13.8815,61543
MRY,13.9162,1802
BOI,13.9686,10984
SUX,14,1
MYR,14.0176,2562
CAK,14.0306,327
MDW,14.0403,52441
FAR,14.1301,2406
AUS,14.1642,39201
MOB,14.1951,2019
ELP,14.2021,20927
TYR,14.215,2842
OME,14.2726,1082
RNO,14.3338,23950
TUL,14.3505,20088
SAT,14.3673,36516
ACT,14.3998,2391
JAN,14.414,6891
SMF,14.4349,39603
ABQ,14.4425,36236
BHM,14.4564,17397
LAW,14.4756,2317
OKC,14.5092,19892
MLU,14.5177,282
LIT,14.6106,13737
RST,14.6136,2355
DLH,14.6184,2065
FSD,14.6546,2099
AMA,14.6708,6313
BRW,14.6751,751
MSY,14.6978,49356
MFE,14.7132,2911
HSV,14.7425,3480
LGB,14.7474,3238
KTN,14.773,2498
GEG,14.8104,12174
DAY,14.8502,8207
AVP,14.8698,1375
LEX,14.8709,1696
JAX,14.8905,23743
SCC,14.8994,477
SJC,14.927,61019
TUS,14.9307,16223
MLI,14.9444,1601
SLC,14.9805,70025
ACY,15,1
AGS,15,3
OTZ,15.0009,1080
SDF,15.0315,17889
LAS,15.0881,130597
BWI,15.0969,86858
GSP,15.0981,4697
MCI,15.1046,56570
LAN,15.1236,2727
EVV,15.1463,1572
SRQ,15.1543,3454
BNA,15.1572,49881
PSP,15.1693,5994
GTF,15.2219,2073
BTR,15.2961,3455
ORF,15.323,18606
VPS,15.3413,2353
OMA,15.3432,17582
CDV,15.3802,726
DEN,15.401,120388
BIS,15.4029,1427
SNA,15.4239,42322
LSE,15.4247,1879
SGF,15.4531,4394
IND,15.4654,32592
SAN,15.4683,74946
CVG,15.4999,61578
ICT,15.5004,5368
MFR,15.5097,1083
TPA,15.5214,62320
MDT,15.5464,5675
DAB,15.59,1444
SPS,15.6516,2061
PVD,15.6717,27146
LRD,15.6801,1569
ABI,15.6912,2435
DRO,15.7175,354
COS,15.7295,8322
GUC,15.7488,211
ALB,15.7601,13955
MHT,15.7663,15211
TYS,15.7761,4074
BUF,15.7784,15712
GSO,15.8245,9931
AKN,15.8261,322
JAC,15.8329,1083
CLT,15.8438,110774
MSN,15.8665,6245
GRB,15.8813,4507
DSM,15.8927,8455
BMI,15.8957,901
BDL,15.9014,33221
SJT,15.9662,2101
CMI,15.9669,1751
SYR,15.9683,9213
DBQ,16.0358,1062
FLL,16.0574,49230
LFT,16.0838,668
PDX,16.1199,50634
STX,16.126,730
CRP,16.1517,4634
MKE,16.1915,15186
PWM,16.205,7264
SHV,16.2112,4660
TOL,16.2158,1793
PHX,16.2555,173938
RIC,16.2572,14115
CMH,16.315,35495
STL,16.3413,132592
RSW,16.3434,13822
EYW,16.3535,1635
SIT,16.3975,1386
ATL,16.4313,231898
CID,16.4841,4759
MOT,16.5187,1095
XNA,16.5273,5166
FNT,16.5974,991
CLE,16.6076,44578
MCO,16.6341,81480
DLG,16.6364,308
SBN,16.6443,343
JNU,16.6528,4594
IAH,16.6883,119695
ABE,16.7005,2090
EGE,16.7241,1073
BTV,16.748,3024
PIT,16.8187,80995
RDU,16.8313,45943
IAD,16.8493,44438
PSC,16.8752,721
HPN,16.8785,5639
GRR,16.888,10228
WRG,16.8912,726
EUG,16.9045,1235
DFW,16.9407,281410
SWF,16.9565,1288
FAI,16.9713,5374
MQT,17.03,267
MSO,17.0385,1895
PBI,17.047,21206
FWA,17.2725,2356
DUT,17.3157,738
TVC,17.3592,2297
MIA,17.3859,62869
HDN,17.3953,635
STT,17.4324,3166
KOA,17.4548,1671
PIA,17.4604,1438
ROC,17.4611,9248
OGG,17.4786,3928
MEM,17.5173,47983
SEA,17.5348,100581
YAK,17.5992,726
RAP,17.6269,1257
LAX,17.6511,182434
BZN,17.6748,1633
CHA,17.7019,842
SJU,17.736,23727
HLN,17.8249,794
FCA,17.8928,1549
DCA,17.8977,69259
BIL,17.9,2879
ANC,17.96,21098
MSP,17.9987,141534
MBS,18.0046,1955
HNL,18.0951,11037
BPT,18.1181,381
DTW,18.182,140676
SFO,18.2926,99168
BOS,18.3889,109852
LIH,18.3978,1008
AZO,18.5222,1982
PHL,18.5591,108184
SBA,18.6797,3297
ADQ,18.949,726
PSG,19.011,726
BGR,19.1313,3123
ORD,19.2097,327394
JFK,19.2296,50422
LGA,19.4045,93554
MTJ,19.4535,333
EWR,19.5688,102408
GST,19.5714,91
BQN,21.4372,247
