UCA,7.26899,316
LIH,8.3109,312
DAL,8.55695,41420
CPR,8.5783,1060
SCC,8.58958,960
ISO,8.88087,277
MAF,9.09068,6859
KSM,9.11628,43
GFK,9.19459,1367
FLG,9.4314,1669
ROP,9.58779,655
OME,9.65678,1011
BUR,9.66383,23069
ROR,9.74944,447
CDV,9.78924,688
KTN,9.89046,2483
GTF,10.0548,3046
FAR,10.2854,3188
LBB,10.2937,8853
RAP,10.3018,2581
ANI,10.3095,42
VPS,10.4439,1061
HLN,10.4655,1072
LGB,10.4773,5849
FNT,10.493,852
PFN,10.5033,1071
TRI,10.5174,2667
PSG,10.6102,667
BRW,10.7993,274
BET,10.85,640
YUM,10.9288,1068
OAK,10.9635,36424
ELP,10.9866,25806
ITH,10.9879,1075
BGR,10.9976,2485
ROA,11.0496,3085
SHV,11.0562,5821
HOU,11.0929,57991
PHF,11.2085,1007
LSE,11.256,1301
HRL,11.2845,6088
JNU,11.3229,4206
FAI,11.3912,4064
CSG,11.4061,1012
STX,11.4546,2268
MRY,11.4725,1109
OAJ,11.4826,1005
CID,11.512,5172
FAY,11.5481,2607
BNA,11.5545,64646
AUS,11.6155,28951
CHA,11.64,3739
ONT,11.6585,36841
ADQ,11.6585,82
GRB,11.6587,3000
CHO,11.6658,365
PHX,11.8542,137129
RDU,11.8583,57324
TUL,11.8949,25405
HSV,11.9435,7879
LAS,11.9533,85962
DLH,12.0071,1826
LIT,12.0163,16109
TVC,12.0509,668
TTN,12.0677,665
MLI,12.1963,3336
MFE,12.2046,2894
AMA,12.2222,5837
RNO,12.2468,18248
SAT,12.2494,33065
BOI,12.2631,6096
FSD,12.2759,6494
ABQ,12.3011,31433
PNS,12.308,8594
MFR,12.3225,1349
SMF,12.3419,29755
GUC,12.3689,206
DSM,12.3993,10209
GRR,12.4227,9673
FWA,12.4495,3090
DET,12.4517,3562
BIL,12.4637,5182
OKC,12.47,24444
SLC,12.4994,68432
PSC,12.5502,1056
CVG,12.5685,70712
TOL,12.5809,2434
IDA,12.5948,1661
MDW,12.6163,29022
ALB,12.6175,14113
ORF,12.633,19251
BHM,12.6471,15573
SUX,12.6619,1532
LEX,12.6994,5286
CRP,12.7685,7122
BTR,12.7758,8130
DLG,12.7853,326
JAN,12.7866,7675
TUS,12.8156,17449
BFL,12.8275,690
TLH,12.8473,7205
COS,12.8753,10961
BIS,12.9184,2820
SBN,12.9297,3315
CAK,12.9422,2681
EVV,12.9484,1241
PSP,12.9579,5032
EUG,12.9662,2869
STT,12.9692,2595
TYS,12.9777,8562
AKN,13.0031,324
RIC,13.0283,15535
SAV,13.0644,7778
YAK,13.0662,665
OMA,13.0682,15391
MEM,13.085,51526
SAN,13.0986,60688
MKE,13.105,22966
OTZ,13.1212,1015
MDT,13.1235,8743
AGS,13.1427,3610
ICT,13.1745,11190
MSY,13.1779,39541
GEG,13.2093,8386
DFW,13.2192,258319
GST,13.25,72
AVL,13.2807,2615
SIT,13.2854,1419
ABE,13.2945,7318
LAN,13.2978,2629
SJC,13.3031,38684
SNA,13.3117,27067
MOB,13.3559,7701
ROC,13.3579,20745
WRG,13.3586,672
BUF,13.3595,24810
SDF,13.3744,16382
MGM,13.3784,3116
DAY,13.3785,16860
CMH,13.3965,37420
HTS,13.4063,1238
SYR,13.411,20295
IAH,13.4146,94856
MCO,13.4165,89183
MSN,13.4883,7629
MLU,13.5022,2521
DRO,13.5465,613
SGF,13.5685,1671
CAE,13.5796,7309
BDL,13.5827,28346
STL,13.5964,124470
CHS,13.5972,9101
SPI,13.6078,561
PDX,13.6114,37130
MOT,13.6382,1744
MCI,13.6397,48856
ANC,13.6453,16470
BWI,13.69,50501
PVD,13.7145,15409
GSP,13.7214,6683
IAD,13.7218,41884
ILM,13.7887,2054
GSO,13.8386,16453
CLT,13.9183,124748
ERI,13.9409,1540
CRW,13.9428,2533
MYR,13.9764,2285
GNV,14.0486,2632
MBS,14.0512,3202
IND,14.0745,43111
PWM,14.091,7581
LNK,14.0937,2838
CLE,14.102,56735
LFT,14.1203,1006
MIA,14.1571,69433
RST,14.2725,2980
ISP,14.2768,4137
SJU,14.3254,19477
ATL,14.3354,202723
BTV,14.3995,5112
TPA,14.4321,53420
OGG,14.4339,2911
SRQ,14.4623,11242
SWF,14.4646,4124
JAX,14.5514,18578
AVP,14.5637,2237
MLB,14.5913,4693
CMI,14.6017,600
PIT,14.6046,134674
DTW,14.6088,125813
MHT,14.7094,4755
FAT,14.7278,4049
AZO,14.7423,2926
SEA,14.7459,75490
BZN,14.7675,3901
DAB,14.7749,6358
SBA,14.8162,3069
MSP,14.8189,116224
RSW,14.889,18799
JAC,14.9182,2200
PHL,14.9298,89270
DEN,14.9855,149359
ORD,15.0218,281971
DCA,15.0919,85271
LGA,15.1479,103696
PIA,15.2175,1232
FLL,15.2323,32300
EGE,15.2994,334
BGM,15.3342,1487
BLI,15.3443,183
GJT,15.5283,937
LAX,15.5368,155270
ORH,15.5574,1873
EWR,15.6994,116040
MSO,15.8459,2368
PBI,15.8612,25592
SFO,15.8944,121517
BOS,16.1805,93143
ACY,16.1995,762
HPN,16.3475,4078
HVN,16.3828,1314
SPN,16.6651,1893
ELM,16.7298,1362
HNL,17.0936,15179
JFK,17.2482,42649
KOA,17.6037,699
BTM,18.1587,712
FCA,18.8904,830
GUM,19.0542,3816
PUB,19.3394,274
HDN,19.8077,468
LWB,20.025,80
MTJ,30,2
